selling_club,selling_league,market_val,age_at_transfer,transfer_fee,transfer_window_idx,contract_left_days,position,minutes_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_perc,touches,touches_def_pen_area,touches_def_3rd,touches_att_3rd,touches_att_pen_area,take_ons_attempted,take_ons_success_perc,total_miscontrols,tackles_att_3rd,dribbles_tackeled_perc,total_blocks,passes_blocked,clearances,errors,dead_ball_pass,free_kick_pass,through_balls,switches,throw_ins,corner_kick,straight_corner,passes_offside,pass_compl_perc,short_pass_compl_perc,medium_pass_compl_perc,long_pass_compl_perc,assists,xA,crosses_into_penalty_area,goals,penalty_kicks_scored,shot_creation_ratio,aerials_won_perc_available,take_ons_success_perc_available,tackeled_during_take_on_perc_available,dribbles_tackeled_perc_available,pass_compl_perc_available,short_pass_compl_perc_available,medium_pass_compl_perc_available,long_pass_compl_perc_available,shot_creation_ratio_available
86,5,1.6711123340883962,0.25723854607443475,58000000.0,10.0,-0.0776230017008323,4,9.0,1.55,-1.44,-0.95,2.91,10.02,11.65,23.79,-0.22,-0.12,9.57,-1.82,-0.95,5.53,-6.64,-2.53,-0.2,6.59,-6.69,-8.01,24.76,23.95,23.4,-0.57,22.06,11.83,-0.77,11.97,-7.12,-6.0,-2.74,8.27,1.93,25.63,13.71,6.14,21.74,-1.14,-0.58,-0.64,-0.42,-0.76,-0.26,3.31,20.01,5.79,4.28,9.27,0.5344,1,1,1,1,1,1,1,1,1
11,5,0.04231079901017153,-0.9771127426143724,29400000.0,8.0,-0.15594343415316747,4,1.34,-5.44,-1.12,-0.74,-2.53,4.59,-4.18,-1.94,7.16,3.65,9.93,8.44,-0.74,3.02,-2.73,1.64,-0.11,-6.13,-5.22,-4.51,-1.49,9.68,15.05,-0.04,4.85,2.92,-0.76,10.87,-0.03,-2.29,4.21,-10.47,-8.78,-3.39,-5.82,-5.83,-4.27,-0.89,-1.96,-0.03,0.05,-0.09,-0.04,-3.41,-1.96,2.43,21.07,-1.22,-0.9927,1,1,1,1,1,1,1,1,1
97,5,-0.29468262204049567,-1.2857005647865742,9000000.0,2.0,-0.9965827424748982,0,4.51,10.87,-1.28,-0.84,-0.29,6.84,-4.78,16.06,6.82,10.44,9.75,-1.62,-0.85,6.89,6.29,3.45,0.36,3.65,-4.38,-1.66,9.86,-0.59,6.3,0.01,3.28,9.95,-0.19,2.41,-0.82,6.56,-2.43,19.55,-6.56,-0.54,-0.13,33.57,-3.07,-1.01,0.09,-0.38,-0.1,-0.66,-0.07,-3.89,1.8,13.42,-4.54,-1.4,0.0726,1,1,1,1,1,1,1,1,1
109,5,0.26697307971061635,0.8744141904188384,13800000.0,16.0,-1.0435750019462993,4,-15.1,-3.11,-0.64,-0.42,-5.42,-4.97,-2.39,-4.58,-3.29,-5.49,-0.71,-0.81,-0.42,-8.93,-4.78,-5.74,0.23,-10.88,-3.57,-5.81,-7.37,-5.75,-4.85,-0.25,-4.77,-2.73,-0.12,-1.8,2.35,-3.53,-1.22,-5.88,-4.32,-1.94,-3.33,-3.51,-2.44,-0.51,-2.68,0.03,-0.7,0.38,0.11,-1.95,-3.37,-2.6,-2.27,-0.7,0.3609,1,1,1,1,1,1,1,1,1
86,5,-0.6035932580036072,-0.35993709826996884,2000000.0,16.0,-1.145391564134335,3,-6.11,4.4,11.17,18.13,10.59,7.23,-0.51,13.05,-10.75,0.9,-1.6,-1.82,-0.95,-6.67,-7.86,8.51,-0.58,-9.33,-8.45,-13.7,4.48,0.57,1.85,-0.19,6.23,16.97,0.01,-1.04,-5.28,-7.95,-2.74,-3.54,2.62,2.3,-5.85,-6.98,3.59,-1.14,2.15,-0.27,-0.03,-0.31,-0.17,-0.53,3.58,8.12,-5.11,-1.57,-1.8362,1,1,1,1,1,1,1,1,1
144,7,1.1094566323372843,-0.35993709826996884,28000000.0,12.0,-0.9965827424748982,4,-14.83,-4.66,-0.96,-0.63,-7.65,-2.32,-3.58,2.01,-5.89,-6.2,-1.06,-1.21,-0.64,-10.6,-6.86,-6.66,-0.1,-10.64,-6.05,-10.28,1.62,1.76,-2.66,-0.03,-0.37,1.04,0.17,-5.7,-4.75,-7.24,-1.82,-4.17,-1.27,-2.91,-4.99,-5.26,6.32,-0.76,-4.02,0.21,0.44,-0.3,0.08,4.77,-1.12,-1.57,-0.27,-1.05,-0.1684,1,1,1,1,1,1,1,1,1
110,4,-0.5193449027409405,0.8744141904188384,4000000.0,11.0,0.42884912815760173,0,11.91,6.08,23.54,-1.1,3.4,-1.51,-1.41,22.54,24.62,27.41,-1.86,-2.12,-1.11,17.6,-0.74,-4.03,0.24,23.09,-4.62,14.82,16.21,-1.07,9.65,0.1,10.66,15.95,0.71,8.8,-2.79,9.94,-3.19,32.98,0.74,-5.09,2.68,50.6,-6.41,-1.33,3.88,-0.05,0.06,-0.17,-0.31,2.58,11.51,25.76,-5.96,-1.83,0.1069,1,1,1,1,1,1,1,1,1
31,5,-0.687841613266274,2.725941123452049,8800000.0,4.0,-1.0775138560089779,2,14.45,1.16,-1.52,-1.0,-14.18,-12.14,-5.68,-10.87,-12.36,-13.05,-1.68,-1.92,-1.01,-16.24,-10.97,-13.63,0.29,-5.14,52.28,26.64,-19.19,-13.15,-12.37,0.06,-14.9,-6.49,-0.09,-13.78,-7.52,-9.12,9.79,43.81,47.19,-4.6,-7.9,-8.33,-5.8,-1.2,10.0,-1.49,0.29,0.91,-0.43,-4.62,-7.36,-6.17,-5.39,-1.66,0.2322,1,1,1,1,1,1,1,1,1
130,3,-0.7440071834413853,2.417353301279847,1200000.0,16.0,-0.9965827424748982,4,-7.11,0.26,-1.12,-0.74,8.02,-1.0,10.41,-8.01,-7.19,1.61,-1.24,-1.42,-0.74,-8.83,-5.77,-4.85,-0.3,-13.46,-7.23,-11.84,-3.86,1.36,-3.41,0.03,10.88,2.92,-0.26,-4.15,-5.54,-8.13,-2.13,-9.33,-8.78,-3.39,-5.82,-5.22,-4.27,-0.89,-4.69,0.2,-0.01,0.2,0.14,-3.41,-3.93,-4.55,-3.97,-1.22,0.3461,1,1,1,1,1,1,1,1,1
37,5,0.15464193936039392,-1.594288386958776,33000000.0,14.0,-0.043684147638153745,0,-3.94,-1.81,-0.96,-0.63,-5.73,-4.19,-3.58,3.41,1.77,4.0,-1.06,-1.21,-0.64,2.64,-3.21,-4.07,0.08,3.45,-2.15,5.06,0.22,-2.91,-0.82,0.32,-3.38,-1.53,0.44,6.31,-1.07,2.49,4.52,5.81,-0.57,-2.91,-1.73,9.99,1.79,-0.76,1.44,0.58,0.62,-0.02,-0.21,-2.92,-3.09,-1.57,-0.27,-1.05,0.0232,1,1,1,1,1,1,1,1,1
