player_name,selling_club,selling_league,market_val,age_at_transfer,transfer_fee,transfer_window_idx,contract_left_days
Odysseas Vlachodimos,Nott'm Forest,Premier-League,7000000.0,30.0,23600000.0,14.0,1090.0
Odysseas Vlachodimos,Benfica,Primeira-Liga,16000000.0,29.0,4900000.0,12.0,1394.0
Fábio Cardoso,Santa Clara,Primeira-Liga,2000000.0,27.0,2200000.0,8.0,360.0
Fábio Cardoso,Vitória Setúbal,Primeira-Liga,1500000.0,23.0,1500000.0,0.0,1090.0
Marcão,Chaves,Primeira-Liga,2000000.0,22.0,4000000.0,5.0,1260.0
Tanguy Nianzou,Bayern Munich,Bundesliga,9000000.0,20.0,16000000.0,10.0,678.0
Lucien Agoumé,Inter,Serie-A,6000000.0,22.0,8000000.0,14.0,689.0
Nemanja Gudelj,Ajax,Eredivisie,6500000.0,25.0,5500000.0,1.0,1250.0
Djibril Sow,Frankfurt,Bundesliga,22000000.0,26.0,10000000.0,12.0,326.0
Djibril Sow,Mönchengladbach,Bundesliga,1000000.0,20.0,2000000.0,0.0,1090.0
Joan Jordán,SD Eibar,La-Liga,12000000.0,24.0,14000000.0,4.0,360.0
Joan Jordán,Espanyol,La-Liga,1000000.0,25.0,3800000.0,0.0,712.0
Chidera Ejuke,Heerenveen,Eredivisie,5500000.0,22.0,11500000.0,6.0,1032.0
Adnan Januzaj,Man Utd,Premier-League,7000000.0,22.0,8500000.0,0.0,348.0
Alexis Sánchez,Arsenal,Premier-League,70000000.0,29.0,34000000.0,3.0,158.0
Fernando Calero,Real Valladolid,La-Liga,10000000.0,23.0,8000000.0,4.0,686.0
Leandro Cabrera,Getafe,La-Liga,10000000.0,28.0,9000000.0,7.0,525.0
Urko González de Zárate,Real Sociedad,La-Liga,5000000.0,24.0,5000000.0,16.0,1032.0
Charles Pickel,Cremonese,Serie-A,2400000.0,28.0,1000000.0,16.0,303.0
Charles Pickel,Famalicão,Primeira-Liga,2500000.0,25.0,3800000.0,10.0,1068.0
Ramón Terrats,Girona,La-Liga,4000000.0,22.0,2500000.0,12.0,360.0
